Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR16949318	0.16376549681890543	54962	64.49	9816314.0						
SRR16949318_1					94.55127449717226	47.0	151.0	151	40.0	42832177.0
SRR16949318_2					91.78569152382607	47.0	151.0	151	40.0	42832177.0
SRR16949319	0.1305275961530247	38044	67.4	8790295.0						
SRR16949319_1					95.76708575364695	47.0	151.0	151	40.0	37631548.0
SRR16949319_2					93.00119203181313	47.0	151.0	151	30.0	37631548.0
SRR16949320	0.13647054693533667	37942	63.32	7620949.0						
SRR16949320_1					95.02251348280421	47.0	151.0	151	50.0	35937802.0
SRR16949320_2					91.8411457154132	47.0	151.0	151	40.0	35937802.0
SRR16949321	0.6283571856831476	85896	77.32	5512985.0						
SRR16949321_1					93.96435517551924	46.0	151.0	151	40.0	27691402.0
SRR16949321_2					89.03108351977154	47.0	151.0	151	40.0	27691402.0
SRR16949322	1.1291637254391143	253124	74.02	7941989.0						
SRR16949322_1					97.14058645423532	48.0	151.0	151	50.0	40466717.0
SRR16949322_2					94.09278978509741	48.0	151.0	151	50.0	40466717.0
SRR16949323	0.47820419817321574	128466	62.02	7460729.0						
SRR16949323_1					97.01218778909455	48.0	151.0	151	50.0	34472495.0
SRR16949323_2					93.1471161864026	48.0	151.0	151	50.0	34472495.0
