Module	Section	Sample Name	Source
featureCounts	all_sections	SRR16949318	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/featurecounts/srna_counts.txt.summary
featureCounts	all_sections	SRR16949319	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/featurecounts/srna_counts.txt.summary
featureCounts	all_sections	SRR16949320	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/featurecounts/srna_counts.txt.summary
featureCounts	all_sections	SRR16949321	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/featurecounts/srna_counts.txt.summary
featureCounts	all_sections	SRR16949322	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/featurecounts/srna_counts.txt.summary
featureCounts	all_sections	SRR16949323	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/featurecounts/srna_counts.txt.summary
STAR	SummaryLog	SRR16949318	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/mapped/SRR16949318Log.final.out
STAR	SummaryLog	SRR16949319	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/mapped/SRR16949319Log.final.out
STAR	SummaryLog	SRR16949320	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/mapped/SRR16949320Log.final.out
STAR	SummaryLog	SRR16949321	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/mapped/SRR16949321Log.final.out
STAR	SummaryLog	SRR16949322	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/mapped/SRR16949322Log.final.out
STAR	SummaryLog	SRR16949323	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/mapped/SRR16949323Log.final.out
FastQC	all_sections	SRR16949318_1	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/fastqc_output/fastqc_zip/SRR16949318_1_fastqc.zip
FastQC	all_sections	SRR16949318_2	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/fastqc_output/fastqc_zip/SRR16949318_2_fastqc.zip
FastQC	all_sections	SRR16949319_1	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/fastqc_output/fastqc_zip/SRR16949319_1_fastqc.zip
FastQC	all_sections	SRR16949319_2	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/fastqc_output/fastqc_zip/SRR16949319_2_fastqc.zip
FastQC	all_sections	SRR16949320_1	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/fastqc_output/fastqc_zip/SRR16949320_1_fastqc.zip
FastQC	all_sections	SRR16949320_2	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/fastqc_output/fastqc_zip/SRR16949320_2_fastqc.zip
FastQC	all_sections	SRR16949321_1	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/fastqc_output/fastqc_zip/SRR16949321_1_fastqc.zip
FastQC	all_sections	SRR16949321_2	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/fastqc_output/fastqc_zip/SRR16949321_2_fastqc.zip
FastQC	all_sections	SRR16949322_1	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/fastqc_output/fastqc_zip/SRR16949322_1_fastqc.zip
FastQC	all_sections	SRR16949322_2	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/fastqc_output/fastqc_zip/SRR16949322_2_fastqc.zip
FastQC	all_sections	SRR16949323_1	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/fastqc_output/fastqc_zip/SRR16949323_1_fastqc.zip
FastQC	all_sections	SRR16949323_2	/work/geisingerlab/Mark/rnaSeq/palethorpe_sRNAs_fixed_2024-05-30/data/fastqc_output/fastqc_zip/SRR16949323_2_fastqc.zip
